Title,Year,Genre
The Passion of Joan of Arc,1928,Drama
The Dark Angel,1935,Drama
The Foreign Correspondent,1940,Drama
The Blue Bird,1940,Fantasy
Day of Wrath,1943,Drama
The Treasure of the Sierra Madre,1948,Drama
All the King's Men,1949,Drama
No Man of Her Own,1950,Drama
Ikiru,1952,Drama
Tokyo Story,1953,Drama
La Strada,1954,Drama
Seven Samurai,1954,Drama
Pather Panchali,1955,Drama
Aparajito,1956,Drama
Apur Sansar,1959,Drama
The Little Soldier,1960,French Cinema
Breathless,1960,French Cinema
Breakfast at Tiffany's,1961,Drama
Band of Outsiders,1964,French Cinema
Chimes at Midnight,1965,Drama
Dylan 65 Revisited,1965,Documentary
Barefoot in the Park,1967,Drama
Playtime,1967,Drama
Bullitt,1968,Action
Shame,1968,Drama
Valerie and Her Week of Wonders,1970,Experimental
Two-Lane Blacktop,1971,Drama
Straw Dogs,1971,Drama
McCabe & Mrs. Miller,1971,Drama
The Bitter Tears of Petra von Kant,1972,Drama
The Long Goodbye,1973,Drama
The Sting,1973,Drama
Don't Look Now,1973,Drama
The Day of the Jackal,1973,Drama
The Holy Mountain,1973,Experimental
Jeanne Dielman 23 quai du Commerce 1080 Bruxelles,1975,Drama
Salò or the 120 Days of Sodom,1975,Drama
The Mirror,1975,Drama
Logan's Run,1976,Science Fiction
Sorcerer,1977,Drama
Stroszek,1977,Drama
The Wiz,1978,Musical
Days of Heaven,1978,Drama
Wanderers,1979,Drama
The Changeling,1980,Drama
Scanners,1981,Experimental
The King of Comedy,1982,Drama
The Verdict,1982,Drama
DC Cab,1983,Comedy
Suburbia,1983,Drama
Nausicaä,1984,Animated
Once Upon a Time in America,1984,Drama
Repo Man,1984,Science Fiction
Stranger Than Paradise,1984,Drama
Pretty in Pink,1986,Drama
Good to Go,1986,Drama
Kung Fu: The Movie,1986,Martial Arts
The Name of the Rose,1986,Drama
The Witches of Eastwick,1987,Drama
Ishtar,1987,Drama
Dirty Dancing,1987,Drama
The Adventures of Baron Munchausen,1988,Comedy
Coming to America,1988,Drama
Time of the Gypsies,1988,Drama
Women on the Verge of a Nervous Breakdown,1988,Drama
Mystery Train,1989,Drama
Born on the 4th of July,1989,Drama
Crimes and Misdemeanors,1989,Drama
King of New York,1990,Action
Wild at Heart,1990,Drama
Jacob's Ladder,1990,Drama
Hardware,1990,Drama
Dick Tracy,1990,Drama
Prospero's Books,1991,Drama
Billy Bathgate,1991,Drama
Naked Lunch,1991,Drama
La Belle Noiseuse,1991,French Cinema
Homicide,1991,Drama
Bad Lieutenant,1992,Action
The Muppet Christmas Carol,1992,Musical
The Last Seduction,1994,Drama
La Reine Margot,1994,French Cinema
Welcome to the Dollhouse,1995,Drama
Fallen Angels,1995,Drama
The City of Lost Children,1995,French Cinema
La Haine,1995,French Cinema
Szamanka,1996,Experimental
Perfect Blue,1997,Animated
Berserk,1997,TV Series
The Thin Red Line,1998,Drama
Bringing Out the Dead,1999,Drama
All About My Mother,1999,Drama
In the Mood for Love,2000,Drama
Werckmeister Harmonies,2000,Drama
The Others,2001,Drama
Final Fantasy: The Spirits Within,2001,Fantasy
Amelie,2001,Drama
Rules of Attraction,2002,Drama
Confessions of a Dangerous Mind,2002,Drama
Madame Satã,2002,Drama
Saraband,2003,Drama
Man on Fire,2004,Action
Ashes and Snow,2005,Documentary
The Three Burials of Melquiades Estrada,2005,Drama
The Fall,2006,Fantasy
Lady Chatterley,2006,Drama
Marie Antoinette,2006,Drama
The Man from London,2007,Drama
Margot at the Wedding,2007,Drama
Stellet Licht,2007,Drama
Elegy,2008,Drama
Enter the Void,2009,Drama
Duplicity,2009,Drama
Gentlemen Broncos,2009,Drama
The Proposal,2009,Drama
White Material,2009,Drama
The Descendants,2011,Drama
This Is Not a Film,2011,Documentary
The Act of Killing,2012,Documentary
The Gatekeepers,2012,Documentary
Amour,2012,Drama
Killing Them Softly,2012,Drama
Frances Ha,2012,Drama
The Hollow Crown,2012,TV Series
The Place Beyond the Pines,2012,Drama
The Congress,2013,Drama
The Counselor,2013,Drama
Hard to Be a God,2013,Drama
Kill Your Darlings,2013,Drama
Under the Skin,2013,Drama
Ida,2013,Drama
Over the Garden Wall,2014,Animated
The Look of Silence,2014,Documentary
A Pigeon Sat on a Branch Reflecting on Existence,2014,Drama
Leviathan,2014,Drama
The Judge,2014,Drama
Calvary,2014,Drama
Blackhat (Director's Cut),2015,Action
Patriot,2015,TV Series
Bolgen,2015,Drama
Nocturnal Animals,2016,Drama
Our Kind of Traitor,2016,Drama
The Handmaiden,2016,Thriller
Manchester by the Sea,2016,Drama
Midnight Special,2016,Science Fiction
Elle,2016,Drama
Valerian and the City of a Thousand Planets,2017,Action
Made in Abyss,2017,Animated
Good Time,2017,Drama
Journey's End,2017,Drama
Wrath of Silence,2017,Experimental
Bitter Harvest,2017,Drama
Call Me By Your Name,2017,Drama
Beirut,2018,Drama
Border,2018,Drama
Cold War,2018,Drama
The Nightingale,2018,Drama
The Other Side of the Wind,2018,Drama
Aniara,2018,Science Fiction
Shoplifters,2018,Drama
Ready or Not,2019,Action
Ema,2019,Drama
The King,2019,Drama
I'm Thinking of Ending Things,2020,Drama
The Devil All the Time,2020,Drama
The Midnight Sky,2020,Drama
Six Minutes to Midnight,2020,Drama
Solar Opposites,2020,TV Series
Exterminate All the Brutes,2021,Documentary
The Worst Person in the World,2021,Drama
Memoria,2021,Drama
Mr. Bachmann and His Class,2021,Drama
Delicious,2021,Drama
Benediction,2021,Drama
Lupin,2021,Thriller
Navalny,2022,Documentary
Aftersun,2022,Drama
Tár,2022,Drama
White Noise,2022,Drama
Three Thousand Years of Longing,2022,Drama
Spin Me Round,2022,Drama
The Eternal Daughter,2022,Drama
No Bears,2022,Drama
Neptune Frost,2022,Drama
The Killer,2023,Action
FUBAR,2023,Comedy
Poor Things,2023,Drama
Past Lives,2023,Drama
Killers of the Flower Moon,2023,Drama
Beau Is Afraid,2023,Drama
Anatomy of a Fall,2023,Drama
Poker Face,2023,TV Series
Rebel Ridge,2024,Action
